sender,recipient,date,end date
"Henry, Joseph","Henslow, J. S.",1844-04-27,1844-04-27
"Goulburn, Henry","Henslow, J. S.",1845-09-09,1845-09-09
"Way, Albert","Henslow, J. S.",1846-02-18,1846-02-18
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-03-27,1848-03-27
"Henslow, J. S.","Martin, Thomas",1848-05-06,1848-05-06
"Henslow, J. S.","Whewell, William",1848-11-16,1848-11-16
"Henslow, J. S.","Herschel, Sir J. F. W.",1848-11-30,1848-11-30
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-02-12,1849-02-12
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Henslow, J. S.","Whewell, William",1849-03-05,1849-03-05
"Spence, William","Henslow, J. S.",1850-03-19,1850-03-19
"Sedgwick, Adam","Henslow, J. S.",1850-07-02,1850-07-02
"Whewell, William","Henslow, J. S.",1850-11-06,1850-11-06
"Clark, William","Henslow, J. S.",1852-03-14,1852-03-14
"Wollaston, T.V.","Henslow, J. S.",1852-12-31,1852-12-31
"Whewell, William","Henslow, J. S.",1853-04-22,1853-04-22
"Forbes, Edward","Henslow, J. S.",1853-07-02,1853-07-02
"Forbes, Edward","Henslow, J. S.",1853-07-02,1853-07-02
"Bunbury, F. J.","Henslow, J. S.",1853-07-16,1853-07-16
"Henslow, J. S.","Gould, John.",1853-09-29,1853-09-29
"Henslow, J. S.","Martin, Thomas",1853-10-06,1853-10-06
"Bunbury, F. J.","Henslow, J. S.",1853-10-20,1853-10-20
"Jenyns, Leonard","Henslow, J. S.",1853-11-03,1853-11-03
"Horner, Leonard","Henslow, J. S.",1855-05-05,1855-05-05
"Henslow, J. S.",Lester,1855-06-25,1855-06-25
"Spence, William","Henslow, J. S.",1855-07-12,1855-07-12
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Horner, Leonard","Henslow, J. S.",1855-11-18,1855-11-18
"Horner, Leonard","Henslow, J. S.",1856-04-13,1856-04-13
"Henslow, J. S.","Martin, Thomas",1856-04-30,1856-04-30
"Belper, Lord","Henslow, J. S.",1856-08-29,1856-08-29
"Belper, Lord","Henslow, J. S.",1856-09-14,1856-09-14
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Henslow, J. S.","Gould, John.",1856-10-28,1856-10-28
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Bunbury, C. J. F.","Henslow, J. S.",1856-11-10,1856-11-10
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Horner, Leonard","Henslow, J. S.",1856-11-15,1856-11-15
"Stainton, H. T.","Henslow, J. S.",1856-12-24,1856-12-24
"Stainton, H. T.","Henslow, J. S.",1856-12-24,1856-12-24
"Evans, John","Henslow, J. S.",1857-02-07,1857-02-07
"Horner, Leonard","Henslow, J. S.",1857-09-12,1857-09-12
"Patterson, Robert","Henslow, J. S.",1857-09-12,1857-09-12
"Philpott, Henry","Henslow, J. S.",1857-10-01,1857-10-01
"Philpott, Henry","Henslow, J. S.",1858-02-15,1858-02-15
"Henslow, J. S.","Eyton, Thomas Campbell",1858-04-20,1858-04-20
"Jenyns, Leonard","Henslow, J. S.",1859-06-03,1859-06-03
"Carpenter, William B.","Henslow, J. S.",1859-08-03,1859-08-03
"Henslow, J. S.","Martin, Thomas",1859-09-22,1859-09-22
"Jenyns, Leonard","Henslow, J. S.",1859-11-21,1859-11-21
"Jenyns, Leonard","Henslow, J. S.",1860-03-16,1860-03-16
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Henslow, J. S.","Sedgwick, Adam",1860-04-30,1860-04-30
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-05,1860-05-05
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Henslow, J. S.","Hooker, J. D.",1860-05-10,1860-05-10
"Jenyns, Leonard","Henslow, J. S.",1860-07-18,1860-07-18
